P[ (x=7,y=9) | steps=4 ] = 0.0
P[ (x=4,y=8) | steps=4 ] = 0.0
P[ (x=5,y=8) | steps=3 ] = 0.0
P[ (x=3,y=9) | steps=2 ] = 0.0
P[ (x=0,y=8) | steps=2 ] = 0.0
P[ (x=1,y=8) | steps=1 ] = 0.0
P[ (x=-2,y=7) | steps=1 ] = 0.0
P[ (x=-2,y=5) | steps=1 ] = 0.0
P[ (x=2,y=5) | steps=1 ] = 1.0
P[ (x=-1,y=8) | steps=1 ] = 0.0
P[ (x=3,y=9) | steps=0 ] = 0.0
P[ (x=0,y=8) | steps=0 ] = 0.0
P[ (x=1,y=9) | steps=0 ] = 0.0
P[ (x=4,y=8) | steps=0 ] = 0.0
P[ (x=2,y=7) | steps=1 ] = 0.5
P[ (x=-1,y=4) | steps=1 ] = 0.0
P[ (x=-1,y=5) | steps=0 ] = 0.0
P[ (x=-1,y=3) | steps=0 ] = 0.0
P[ (x=1,y=4) | steps=1 ] = 0.75
P[ (x=0,y=6) | steps=2 ] = 0.28125
P[ (x=5,y=8) | steps=1 ] = 0.0
P[ (x=8,y=4) | steps=0 ] = 0.0
P[ (x=8,y=6) | steps=0 ] = 0.0
P[ (x=6,y=5) | steps=1 ] = 0.75
P[ (x=3,y=8) | steps=1 ] = 0.0
P[ (x=7,y=9) | steps=0 ] = 0.0
P[ (x=4,y=8) | steps=0 ] = 0.0
P[ (x=8,y=6) | steps=0 ] = 0.0
P[ (x=5,y=9) | steps=0 ] = 0.0
P[ (x=8,y=8) | steps=0 ] = 0.0
P[ (x=6,y=7) | steps=1 ] = 0.375
P[ (x=3,y=4) | steps=1 ] = 1.0
P[ (x=5,y=4) | steps=1 ] = 1.0
P[ (x=4,y=6) | steps=2 ] = 0.578125
P[ (x=1,y=9) | steps=2 ] = 0.0
P[ (x=4,y=8) | steps=2 ] = 0.0
P[ (x=-1,y=6) | steps=1 ] = 0.0
P[ (x=-1,y=4) | steps=1 ] = 0.0
P[ (x=1,y=9) | steps=0 ] = 0.0
P[ (x=-2,y=8) | steps=0 ] = 0.0
P[ (x=-2,y=6) | steps=0 ] = 0.0
P[ (x=-1,y=9) | steps=0 ] = 0.0
P[ (x=2,y=8) | steps=0 ] = 0.0
P[ (x=-1,y=5) | steps=0 ] = 0.0
P[ (x=0,y=7) | steps=1 ] = 0.25
P[ (x=4,y=8) | steps=0 ] = 0.0
P[ (x=2,y=8) | steps=0 ] = 0.0
P[ (x=3,y=6) | steps=1 ] = 0.75
P[ (x=-2,y=4) | steps=0 ] = 0.0
P[ (x=-2,y=2) | steps=0 ] = 0.0
P[ (x=-1,y=5) | steps=0 ] = 0.0
P[ (x=-1,y=1) | steps=0 ] = 0.0
P[ (x=0,y=3) | steps=1 ] = 0.5
P[ (x=2,y=3) | steps=1 ] = 1.0
P[ (x=1,y=5) | steps=2 ] = 0.5
P[ (x=5,y=9) | steps=0 ] = 0.0
P[ (x=2,y=8) | steps=0 ] = 0.0
P[ (x=3,y=9) | steps=0 ] = 0.0
P[ (x=6,y=8) | steps=0 ] = 0.0
P[ (x=4,y=7) | steps=1 ] = 0.5
P[ (x=2,y=8) | steps=0 ] = 0.0
P[ (x=-1,y=7) | steps=0 ] = 0.0
P[ (x=-1,y=5) | steps=0 ] = 0.0
P[ (x=0,y=8) | steps=0 ] = 0.0
P[ (x=1,y=6) | steps=1 ] = 0.5
P[ (x=6,y=8) | steps=0 ] = 0.0
P[ (x=4,y=8) | steps=0 ] = 0.0
P[ (x=5,y=6) | steps=1 ] = 0.75
P[ (x=4,y=3) | steps=1 ] = 1.0
P[ (x=3,y=5) | steps=2 ] = 0.75
P[ (x=2,y=7) | steps=3 ] = 0.263671875
P[ (x=4,y=9) | steps=1 ] = 0.0
P[ (x=1,y=8) | steps=1 ] = 0.0
P[ (x=2,y=9) | steps=1 ] = 0.0
P[ (x=5,y=8) | steps=1 ] = 0.0
P[ (x=4,y=5) | steps=1 ] = 1.0
P[ (x=3,y=7) | steps=2 ] = 0.40625
P[ (x=-2,y=5) | steps=1 ] = 0.0
P[ (x=-2,y=3) | steps=1 ] = 0.0
P[ (x=-1,y=6) | steps=1 ] = 0.0
