money: 0 min_coins: 0 {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 50: 0, 100: 0}
money: 1 min_coins: 1 {1: 1, 2: 0, 5: 0, 10: 0, 20: 0, 50: 0, 100: 0}
money: 2 min_coins: 1 {1: 0, 2: 1, 5: 0, 10: 0, 20: 0, 50: 0, 100: 0}
money: 3 min_coins: 2 {1: 1, 2: 1, 5: 0, 10: 0, 20: 0, 50: 0, 100: 0}
money: 4 min_coins: 2 {1: 0, 2: 2, 5: 0, 10: 0, 20: 0, 50: 0, 100: 0}
money: 5 min_coins: 1 {1: 0, 2: 0, 5: 1, 10: 0, 20: 0, 50: 0, 100: 0}
money: 6 min_coins: 2 {1: 1, 2: 0, 5: 1, 10: 0, 20: 0, 50: 0, 100: 0}
money: 7 min_coins: 2 {1: 0, 2: 1, 5: 1, 10: 0, 20: 0, 50: 0, 100: 0}
money: 8 min_coins: 3 {1: 1, 2: 1, 5: 1, 10: 0, 20: 0, 50: 0, 100: 0}
money: 9 min_coins: 3 {1: 0, 2: 2, 5: 1, 10: 0, 20: 0, 50: 0, 100: 0}
money: 10 min_coins: 1 {1: 0, 2: 0, 5: 0, 10: 1, 20: 0, 50: 0, 100: 0}
money: 11 min_coins: 2 {1: 1, 2: 0, 5: 0, 10: 1, 20: 0, 50: 0, 100: 0}
money: 12 min_coins: 2 {1: 0, 2: 1, 5: 0, 10: 1, 20: 0, 50: 0, 100: 0}
money: 13 min_coins: 3 {1: 1, 2: 1, 5: 0, 10: 1, 20: 0, 50: 0, 100: 0}
money: 14 min_coins: 3 {1: 0, 2: 2, 5: 0, 10: 1, 20: 0, 50: 0, 100: 0}
money: 15 min_coins: 2 {1: 0, 2: 0, 5: 1, 10: 1, 20: 0, 50: 0, 100: 0}
money: 16 min_coins: 3 {1: 1, 2: 0, 5: 1, 10: 1, 20: 0, 50: 0, 100: 0}
money: 17 min_coins: 3 {1: 0, 2: 1, 5: 1, 10: 1, 20: 0, 50: 0, 100: 0}
money: 18 min_coins: 4 {1: 1, 2: 1, 5: 1, 10: 1, 20: 0, 50: 0, 100: 0}
money: 19 min_coins: 4 {1: 0, 2: 2, 5: 1, 10: 1, 20: 0, 50: 0, 100: 0}
money: 20 min_coins: 1 {1: 0, 2: 0, 5: 0, 10: 0, 20: 1, 50: 0, 100: 0}
money: 21 min_coins: 2 {1: 1, 2: 0, 5: 0, 10: 0, 20: 1, 50: 0, 100: 0}
money: 22 min_coins: 2 {1: 0, 2: 1, 5: 0, 10: 0, 20: 1, 50: 0, 100: 0}
money: 23 min_coins: 3 {1: 1, 2: 1, 5: 0, 10: 0, 20: 1, 50: 0, 100: 0}
money: 24 min_coins: 3 {1: 0, 2: 2, 5: 0, 10: 0, 20: 1, 50: 0, 100: 0}
money: 25 min_coins: 2 {1: 0, 2: 0, 5: 1, 10: 0, 20: 1, 50: 0, 100: 0}
money: 26 min_coins: 3 {1: 1, 2: 0, 5: 1, 10: 0, 20: 1, 50: 0, 100: 0}
money: 27 min_coins: 3 {1: 0, 2: 1, 5: 1, 10: 0, 20: 1, 50: 0, 100: 0}
money: 28 min_coins: 4 {1: 1, 2: 1, 5: 1, 10: 0, 20: 1, 50: 0, 100: 0}
money: 29 min_coins: 4 {1: 0, 2: 2, 5: 1, 10: 0, 20: 1, 50: 0, 100: 0}
money: 30 min_coins: 2 {1: 0, 2: 0, 5: 0, 10: 1, 20: 1, 50: 0, 100: 0}
money: 31 min_coins: 3 {1: 1, 2: 0, 5: 0, 10: 1, 20: 1, 50: 0, 100: 0}
money: 32 min_coins: 3 {1: 0, 2: 1, 5: 0, 10: 1, 20: 1, 50: 0, 100: 0}
money: 33 min_coins: 4 {1: 1, 2: 1, 5: 0, 10: 1, 20: 1, 50: 0, 100: 0}
money: 34 min_coins: 4 {1: 0, 2: 2, 5: 0, 10: 1, 20: 1, 50: 0, 100: 0}
money: 35 min_coins: 3 {1: 0, 2: 0, 5: 1, 10: 1, 20: 1, 50: 0, 100: 0}
money: 36 min_coins: 4 {1: 1, 2: 0, 5: 1, 10: 1, 20: 1, 50: 0, 100: 0}
money: 37 min_coins: 4 {1: 0, 2: 1, 5: 1, 10: 1, 20: 1, 50: 0, 100: 0}
money: 38 min_coins: 5 {1: 1, 2: 1, 5: 1, 10: 1, 20: 1, 50: 0, 100: 0}
money: 39 min_coins: 5 {1: 0, 2: 2, 5: 1, 10: 1, 20: 1, 50: 0, 100: 0}
money: 40 min_coins: 2 {1: 0, 2: 0, 5: 0, 10: 0, 20: 2, 50: 0, 100: 0}
money: 41 min_coins: 3 {1: 1, 2: 0, 5: 0, 10: 0, 20: 2, 50: 0, 100: 0}
money: 42 min_coins: 3 {1: 0, 2: 1, 5: 0, 10: 0, 20: 2, 50: 0, 100: 0}
money: 43 min_coins: 4 {1: 1, 2: 1, 5: 0, 10: 0, 20: 2, 50: 0, 100: 0}
money: 44 min_coins: 4 {1: 0, 2: 2, 5: 0, 10: 0, 20: 2, 50: 0, 100: 0}
money: 45 min_coins: 3 {1: 0, 2: 0, 5: 1, 10: 0, 20: 2, 50: 0, 100: 0}
money: 46 min_coins: 4 {1: 1, 2: 0, 5: 1, 10: 0, 20: 2, 50: 0, 100: 0}
money: 47 min_coins: 4 {1: 0, 2: 1, 5: 1, 10: 0, 20: 2, 50: 0, 100: 0}
money: 48 min_coins: 5 {1: 1, 2: 1, 5: 1, 10: 0, 20: 2, 50: 0, 100: 0}
money: 49 min_coins: 5 {1: 0, 2: 2, 5: 1, 10: 0, 20: 2, 50: 0, 100: 0}
money: 50 min_coins: 1 {1: 0, 2: 0, 5: 0, 10: 0, 20: 0, 50: 1, 100: 0}
money: 51 min_coins: 2 {1: 1, 2: 0, 5: 0, 10: 0, 20: 0, 50: 1, 100: 0}
money: 52 min_coins: 2 {1: 0, 2: 1, 5: 0, 10: 0, 20: 0, 50: 1, 100: 0}
money: 53 min_coins: 3 {1: 1, 2: 1, 5: 0, 10: 0, 20: 0, 50: 1, 100: 0}
money: 54 min_coins: 3 {1: 0, 2: 2, 5: 0, 10: 0, 20: 0, 50: 1, 100: 0}
money: 55 min_coins: 2 {1: 0, 2: 0, 5: 1, 10: 0, 20: 0, 50: 1, 100: 0}
money: 56 min_coins: 3 {1: 1, 2: 0, 5: 1, 10: 0, 20: 0, 50: 1, 100: 0}
money: 57 min_coins: 3 {1: 0, 2: 1, 5: 1, 10: 0, 20: 0, 50: 1, 100: 0}
money: 58 min_coins: 4 {1: 1, 2: 1, 5: 1, 10: 0, 20: 0, 50: 1, 100: 0}
money: 59 min_coins: 4 {1: 0, 2: 2, 5: 1, 10: 0, 20: 0, 50: 1, 100: 0}
money: 60 min_coins: 2 {1: 0, 2: 0, 5: 0, 10: 1, 20: 0, 50: 1, 100: 0}
money: 61 min_coins: 3 {1: 1, 2: 0, 5: 0, 10: 1, 20: 0, 50: 1, 100: 0}
money: 62 min_coins: 3 {1: 0, 2: 1, 5: 0, 10: 1, 20: 0, 50: 1, 100: 0}
money: 63 min_coins: 4 {1: 1, 2: 1, 5: 0, 10: 1, 20: 0, 50: 1, 100: 0}
money: 64 min_coins: 4 {1: 0, 2: 2, 5: 0, 10: 1, 20: 0, 50: 1, 100: 0}
money: 65 min_coins: 3 {1: 0, 2: 0, 5: 1, 10: 1, 20: 0, 50: 1, 100: 0}
money: 66 min_coins: 4 {1: 1, 2: 0, 5: 1, 10: 1, 20: 0, 50: 1, 100: 0}
money: 67 min_coins: 4 {1: 0, 2: 1, 5: 1, 10: 1, 20: 0, 50: 1, 100: 0}
money: 68 min_coins: 5 {1: 1, 2: 1, 5: 1, 10: 1, 20: 0, 50: 1, 100: 0}
money: 69 min_coins: 5 {1: 0, 2: 2, 5: 1, 10: 1, 20: 0, 50: 1, 100: 0}
money: 70 min_coins: 2 {1: 0, 2: 0, 5: 0, 10: 0, 20: 1, 50: 1, 100: 0}
money: 71 min_coins: 3 {1: 1, 2: 0, 5: 0, 10: 0, 20: 1, 50: 1, 100: 0}
money: 72 min_coins: 3 {1: 0, 2: 1, 5: 0, 10: 0, 20: 1, 50: 1, 100: 0}
money: 73 min_coins: 4 {1: 1, 2: 1, 5: 0, 10: 0, 20: 1, 50: 1, 100: 0}
money: 74 min_coins: 4 {1: 0, 2: 2, 5: 0, 10: 0, 20: 1, 50: 1, 100: 0}
money: 75 min_coins: 3 {1: 0, 2: 0, 5: 1, 10: 0, 20: 1, 50: 1, 100: 0}
money: 76 min_coins: 4 {1: 1, 2: 0, 5: 1, 10: 0, 20: 1, 50: 1, 100: 0}
money: 77 min_coins: 4 {1: 0, 2: 1, 5: 1, 10: 0, 20: 1, 50: 1, 100: 0}
money: 78 min_coins: 5 {1: 1, 2: 1, 5: 1, 10: 0, 20: 1, 50: 1, 100: 0}
money: 79 min_coins: 5 {1: 0, 2: 2, 5: 1, 10: 0, 20: 1, 50: 1, 100: 0}
money: 80 min_coins: 3 {1: 0, 2: 0, 5: 0, 10: 1, 20: 1, 50: 1, 100: 0}
money: 81 min_coins: 4 {1: 1, 2: 0, 5: 0, 10: 1, 20: 1, 50: 1, 100: 0}
money: 82 min_coins: 4 {1: 0, 2: 1, 5: 0, 10: 1, 20: 1, 50: 1, 100: 0}
money: 83 min_coins: 5 {1: 1, 2: 1, 5: 0, 10: 1, 20: 1, 50: 1, 100: 0}
money: 84 min_coins: 5 {1: 0, 2: 2, 5: 0, 10: 1, 20: 1, 50: 1, 100: 0}
money: 85 min_coins: 4 {1: 0, 2: 0, 5: 1, 10: 1, 20: 1, 50: 1, 100: 0}
money: 86 min_coins: 5 {1: 1, 2: 0, 5: 1, 10: 1, 20: 1, 50: 1, 100: 0}
money: 87 min_coins: 5 {1: 0, 2: 1, 5: 1, 10: 1, 20: 1, 50: 1, 100: 0}
